sample_accession	study_accession
SAMEA112819392	PRJEB60692
SAMEA112819417	PRJEB60692
SAMEA112819370	PRJEB60692
SAMEA112819393	PRJEB60692
SAMEA112819434	PRJEB60692
SAMEA112819394	PRJEB60692
SAMEA112819435	PRJEB60692
SAMEA112819418	PRJEB60692
SAMEA112819329	PRJEB60692
SAMEA112819371	PRJEB60692
SAMEA112819395	PRJEB60692
SAMEA112819419	PRJEB60692
SAMEA112819330	PRJEB60692
SAMEA112819372	PRJEB60692
SAMEA112819436	PRJEB60692
SAMEA112819397	PRJEB60692
SAMEA112819398	PRJEB60692
SAMEA112819399	PRJEB60692
SAMEA112819400	PRJEB60692
SAMEA112819401	PRJEB60692
SAMEA112819402	PRJEB60692
SAMEA112819420	PRJEB60692
SAMEA112819403	PRJEB60692
SAMEA112819404	PRJEB60692
SAMEA112819437	PRJEB60692
SAMEA112819405	PRJEB60692
SAMEA112819421	PRJEB60692
SAMEA112819439	PRJEB60692
SAMEA112819406	PRJEB60692
SAMEA112819422	PRJEB60692
SAMEA112819331	PRJEB60692
SAMEA112819373	PRJEB60692
SAMEA112819407	PRJEB60692
SAMEA112819408	PRJEB60692
SAMEA112819423	PRJEB60692
SAMEA112819332	PRJEB60692
SAMEA112819374	PRJEB60692
SAMEA112819424	PRJEB60692
SAMEA112819375	PRJEB60692
SAMEA112819440	PRJEB60692
SAMEA112819409	PRJEB60692
SAMEA112819410	PRJEB60692
SAMEA112819425	PRJEB60692
SAMEA112819333	PRJEB60692
SAMEA112819376	PRJEB60692
sample_accession	study_accession
SAMEA4808038	PRJEB27978
SAMEA4808039	PRJEB27978
SAMEA4808040	PRJEB27978
SAMEA4808041	PRJEB27978
SAMEA4808042	PRJEB27978
SAMEA4808043	PRJEB27978
SAMEA4808044	PRJEB27978
SAMEA4808045	PRJEB27978
SAMEA4808046	PRJEB27978
SAMEA4808047	PRJEB27978
SAMEA4808048	PRJEB27978
SAMEA4808049	PRJEB27978
SAMEA4808050	PRJEB27978
SAMEA4808051	PRJEB27978
SAMEA4808052	PRJEB27978
SAMEA4808053	PRJEB27978
SAMEA4808054	PRJEB27978
SAMEA4808055	PRJEB27978
SAMEA4808056	PRJEB27978
SAMEA4808057	PRJEB27978
SAMEA4808058	PRJEB27978
SAMEA4808059	PRJEB27978
SAMEA4808060	PRJEB27978
SAMEA4808061	PRJEB27978
SAMEA4808062	PRJEB27978
SAMEA4808063	PRJEB27978
SAMEA4808064	PRJEB27978
SAMEA4808065	PRJEB27978
SAMEA4808066	PRJEB27978
SAMEA4808067	PRJEB27978
SAMEA4808068	PRJEB27978
SAMEA4808069	PRJEB27978
SAMEA4808070	PRJEB27978
SAMEA4808071	PRJEB27978
SAMEA4808072	PRJEB27978
SAMEA4808073	PRJEB27978
SAMEA4808074	PRJEB27978
SAMEA4808075	PRJEB27978
SAMEA4808076	PRJEB27978
SAMEA4808077	PRJEB27978
SAMEA4808078	PRJEB27978
SAMEA4808079	PRJEB27978
SAMEA4808080	PRJEB27978
SAMEA4808081	PRJEB27978
SAMEA4808082	PRJEB27978
SAMEA4808083	PRJEB27978
SAMEA4808084	PRJEB27978
SAMEA4808085	PRJEB27978
SAMEA4808086	PRJEB27978
SAMEA4808087	PRJEB27978
SAMEA4803013	PRJEB27914
SAMEA4803014	PRJEB27914
SAMEA4803015	PRJEB27914
SAMEA4803016	PRJEB27914
SAMEA4803017	PRJEB27914
SAMEA4803018	PRJEB27914
SAMEA4803019	PRJEB27914
SAMEA4803020	PRJEB27914
SAMEA4803021	PRJEB27914
SAMEA4803022	PRJEB27914
SAMEA4803023	PRJEB27914
SAMEA4803024	PRJEB27914
SAMEA4803025	PRJEB27914
SAMEA4803026	PRJEB27914
SAMEA4803027	PRJEB27914
SAMEA4803028	PRJEB27914
SAMEA4803029	PRJEB27914
SAMEA4803030	PRJEB27914
SAMEA4803031	PRJEB27914
SAMEA4803032	PRJEB27914
SAMEA4803033	PRJEB27914
SAMEA4803034	PRJEB27914
SAMEA4803035	PRJEB27914
SAMEA4803036	PRJEB27914
SAMEA4803037	PRJEB27914
SAMEA4803038	PRJEB27914
SAMEA4803039	PRJEB27914
SAMEA4803040	PRJEB27914
SAMEA4803041	PRJEB27914
SAMEA4803042	PRJEB27914
SAMEA6943158	PRJEB38835
SAMEA6943163	PRJEB38835
SAMEA6943249	PRJEB38835
SAMEA6943255	PRJEB38835
SAMEA6943297	PRJEB38835
SAMEA6943136	PRJEB38835
SAMEA6943187	PRJEB38835
SAMEA6943154	PRJEB38835
SAMEA6943234	PRJEB38835
SAMEA6943260	PRJEB38835
SAMEA6943293	PRJEB38835
SAMEA6943106	PRJEB38835
SAMEA6943152	PRJEB38835
SAMEA6943202	PRJEB38835
SAMEA6943239	PRJEB38835
SAMEA6943247	PRJEB38835
SAMEA6943306	PRJEB38835
SAMEA6943118	PRJEB38835
SAMEA6943207	PRJEB38835
SAMEA6943160	PRJEB38835
SAMEA6943259	PRJEB38835
SAMEA6943276	PRJEB38835
SAMEA6943285	PRJEB38835
SAMEA6943092	PRJEB38835
SAMEA6943189	PRJEB38835
SAMEA6943186	PRJEB38835
SAMEA6943175	PRJEB38835
SAMEA6943269	PRJEB38835
SAMEA6943305	PRJEB38835
SAMEA6943114	PRJEB38835
SAMEA6943181	PRJEB38835
SAMEA6943177	PRJEB38835
SAMEA6943159	PRJEB38835
SAMEA6943264	PRJEB38835
SAMEA6943291	PRJEB38835
SAMEA6943129	PRJEB38835
SAMEA6943161	PRJEB38835
SAMEA6943102	PRJEB38835
SAMEA6943258	PRJEB38835
SAMEA6943242	PRJEB38835
SAMEA6943299	PRJEB38835
SAMEA6943128	PRJEB38835
SAMEA6943156	PRJEB38835
SAMEA6943089	PRJEB38835
SAMEA6943237	PRJEB38835
SAMEA6943271	PRJEB38835
SAMEA6943131	PRJEB38835
SAMEA6943117	PRJEB38835
SAMEA6943204	PRJEB38835
SAMEA6943171	PRJEB38835
SAMEA6943134	PRJEB38835
SAMEA6943221	PRJEB38835
SAMEA6943223	PRJEB38835
SAMEA6943127	PRJEB38835
SAMEA6943146	PRJEB38835
SAMEA6943151	PRJEB38835
SAMEA6943250	PRJEB38835
SAMEA6943294	PRJEB38835
SAMEA6943240	PRJEB38835
SAMEA6943088	PRJEB38835
SAMEA6943185	PRJEB38835
SAMEA6943212	PRJEB38835
SAMEA6943085	PRJEB38835
SAMEA6943244	PRJEB38835
SAMEA6943227	PRJEB38835
SAMEA6943104	PRJEB38835
SAMEA6943162	PRJEB38835
SAMEA6943200	PRJEB38835
SAMEA6943261	PRJEB38835
SAMEA6943231	PRJEB38835
